ID PUMA,PUMA,ID Year,Year,ID Workforce Status,Workforce Status,ygcpop RCA,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug PUMA,PUMS Degree Field,ID PUMS Degree Field,Slug PUMS Degree Field
79500US1500305,"Nuuanu to Kalihi PUMA, HI",2016,2016,TRUE,TRUE,0.734902474,539,567.1127197,48276.92393,21739.47589,7,nuuanu-to-kalihi-puma-hi,Visual & Performing Arts,50,visual-performing-arts
79500US4801906,"Frisco City (East) & Prosper Town PUMA, TX",2016,2016,TRUE,TRUE,1.639465761,1631,980.3100102,68965.22869,42217.58249,18,frisco-city-(east)-&-prosper-town-puma-tx,Visual & Performing Arts,50,visual-performing-arts
79500US3705400,"Indian Trail & Stallings Towns PUMA, NC",2016,2016,TRUE,TRUE,1.236586776,1069,795.8831052,58541.52292,22564.68131,14,indian-trail-&-stallings-towns-puma-nc,Visual & Performing Arts,50,visual-performing-arts
79500US1500306,"Moanalua to Pearl City PUMA, HI",2016,2016,TRUE,TRUE,0.459387926,505,549.9813899,36920.61782,47185.51448,6,moanalua-to-pearl-city-puma-hi,Visual & Performing Arts,50,visual-performing-arts
79500US5110703,"Leesburg Town PUMA, VA",2016,2016,TRUE,TRUE,1.315219557,1207,845.2315842,78183.98674,36040.61208,11,leesburg-town-puma-va,Visual & Performing Arts,50,visual-performing-arts
79500US3705200,"Hoke, Richmond & Scotland Counties PUMA, NC",2016,2016,TRUE,TRUE,0.972219122,664,628.4111883,36412.7741,10880.99361,5,hoke-richmond-&-scotland-counties-puma-nc,Visual & Performing Arts,50,visual-performing-arts
79500US1500307,"Central Oahu PUMA, HI",2016,2016,TRUE,TRUE,0.330893454,365,467.9866865,30766.21644,31178.72119,6,central-oahu-puma-hi,Visual & Performing Arts,50,visual-performing-arts
79500US0608511,"San Jose City (South Central/Branham) & Cambrian Park PUMA, CA",2016,2016,TRUE,TRUE,1.656002537,1274,866.3049245,57715.65463,18619.75239,12,san-jose-city-(south-central-branham)-&-cambrian-park-puma-ca,Visual & Performing Arts,50,visual-performing-arts
79500US5400300,"Morgantown City PUMA, WV",2016,2016,TRUE,TRUE,1.253458778,1048,787.9342053,22744.18511,10792.31005,7,morgantown-city-puma-wv,Visual & Performing Arts,50,visual-performing-arts
79500US4801905,"McKinney City PUMA, TX",2016,2016,TRUE,TRUE,1.010745377,983,764.3993503,47989.8881,26826.55662,10,mckinney-city-puma-tx,Visual & Performing Arts,50,visual-performing-arts
79500US0603739,"Whittier City & Hacienda Heights PUMA, CA",2016,2016,TRUE,TRUE,1.357131731,1333,887.9939483,60064.7922,27643.1238,13,whittier-city-&-hacienda-heights-puma-ca,Visual & Performing Arts,50,visual-performing-arts
79500US0608512,"San Jose City (Southwest/Almaden Valley) PUMA, CA",2016,2016,TRUE,TRUE,1.189993086,878,721.5207113,66703.93166,53184.77217,9,san-jose-city-(southwest-almaden-valley)-puma-ca,Visual & Performing Arts,50,visual-performing-arts
79500US3705002,"Hope Mills & Spring Lake Towns PUMA, NC",2016,2016,TRUE,TRUE,0.438950174,294,419.698304,25789.45408,30025.10695,5,hope-mills-&-spring-lake-towns-puma-nc,Visual & Performing Arts,50,visual-performing-arts
79500US5400200,"Harrison, Marion, Taylor & Doddridge Counties PUMA, WV",2016,2016,TRUE,TRUE,0.870954263,738,662.9694133,43824.61789,11464.7916,7,harrison-marion-taylor-&-doddridge-counties-puma-wv,Visual & Performing Arts,50,visual-performing-arts
79500US1600702,"Boise (North & West) & Garden City Cities PUMA, ID",2016,2016,TRUE,TRUE,1.095118558,727,656.9855204,78531.43879,94742.29907,7,boise-(north-&-west)-&-garden-city-cities-puma-id,Visual & Performing Arts,50,visual-performing-arts
79500US4801904,"Allen, Murphy, Plano (East) & Parker Cities PUMA, TX",2016,2016,TRUE,TRUE,0.934544295,883,724.8596224,73749.05096,35592.16894,7,allen-murphy-plano-(east)-&-parker-cities-puma-tx,Visual & Performing Arts,50,visual-performing-arts
